customer_code,signup_date,customer_segment,email,loyalty_id
CUST-0000071,09-Nov-2021,smb,user71@example.com,L620481
0000072,25-Feb-2020,Enterprise,user72@example.com,L470411
C0000073,19-Sep-2025, Consumer ,user73@example.com,L993910
C0000074,11/05/2025,Consumer,user74@example.com,L997998
cust-0000075,2021/05/27, Enterprise ,user75@example.com,L928840
C0000076,2021/09/05,SMB,user76@example.com,L551819
CUST-0000077,23-Apr-2020, Enterprise ,user77@example.com,L469428
C0000078,2021/07/18,Consumer,user78@example.com,L862319
 CUST-0000079 ,2020/10/11,ENTERPRISE,user79@example.com,L374085
C0000080,22-Apr-2023,consumer,user80@example.com,L421839
CUST-0000081,2021/12/01, Consumer ,user81@example.com,L454471
0000082,2024/09/12, SMB ,user82@example.com,L623911
C0000083,20-Nov-2020,Consumer,user83@example.com,L704190
0000084,26-May-2023,enterprise,user84@example.com,L478410
0000085,2020/08/11,consumer,user85@example.com,L176518
 C0000086 ,2024/09/21,consumer,user86@example.com,L236605
 CUST-0000087 ,28-Feb-2025, Enterprise ,user87@example.com,
C0000088,2021/11/26,smb,,L396808
C0000089,06-Jul-2023,Consumer,user89@example.com,L713444
C0000090,08-Jan-2020,Consumer,user90@example.com,L959069
0000091,2023-12-01,SMB,user91@example.com,L790669
C0000092,30-Nov-2022,consumer,user92@example.com,L499948
cust-0000093,03/29/2023,enterprise,user93@example.com,L712403
C0000094,05/19/2020, Enterprise ,user94@example.com,L807397
0000095,30-Apr-2024,Consumer,user95@example.com,L750588
C0000096,2025/08/26,SMB,user96@example.com,L304964
 0000097 ,2023-12-21,SMB,user97@example.com,L974026
CUST-0000098,03/30/2024, Enterprise ,user98@example.com,L544607
0000099,28-Apr-2024, Consumer ,user99@example.com,L459685
0000100,14-Sep-2021,Enterprise,user100@example.com,L970939
C0000101,05-Dec-2025,SMB,user101@example.com,L276387
C0000102,02-Mar-2024,Enterprise,user102@example.com,L467683
0000103,06-Nov-2022,Enterprise,user103@example.com,L763762
0000104,08/31/2020,SMB,user104@example.com,L435246
 CUST-0000105 ,2025-06-06,SMB,user105@example.com,L729686
CUST-0000106,27-Apr-2022,SMB,user106@example.com,L371264
c0000107,2022/01/06,SMB,user107@example.com,L910394
CUST-0000108,01/23/2020,Consumer,user108@example.com,L522485
 C0000109 ,01-Mar-2025,ENTERPRISE,user109@example.com,L144983
0000110,31-Mar-2020, Consumer ,user110@example.com,
C0000111,2023/04/15,CONSUMER,user111@example.com,L873948
0000112,26-Jan-2023,ENTERPRISE,user112@example.com,L513734
CUST-0000113,19-Aug-2023,Enterprise,user113@example.com,L992091
 C0000114 ,17-Feb-2024, SMB ,user114@example.com,
CUST-0000115,2022-05-31,Consumer,,L758804
C0000116,2024-02-09, SMB ,user116@example.com,L642898
0000117,18-Jan-2024,consumer,user117@example.com,
C0000118,2022/03/29,Enterprise,user118@example.com,L840100
CUST-0000119,2025/01/07,Consumer,user119@example.com,L801163
 CUST-0000120 ,2025-11-02,Consumer,,L523087
0000121,04-Nov-2022,consumer,user121@example.com,L833581
C0000122,05/11/2021,Enterprise,user122@example.com,
c0000123,2024/03/08,SMB,user123@example.com,L872191
c0000124,27-Mar-2024,CONSUMER,user124@example.com,L916317
 0000125 ,2024-12-03,Enterprise,user125@example.com,L131417
0000126,06-May-2020,Consumer,user126@example.com,L416031
cust-0000127,04/15/2022,CONSUMER,user127@example.com,L906113
C0000128,2023/09/06,SMB,,L405192
cust-0000129,2021-02-05, Consumer ,user129@example.com,L680996
CUST-0000130,30-Jan-2022,SMB,user130@example.com,L548814
CUST-0000131,2022/10/08,SMB,user131@example.com,L677582
CUST-0000132,09/07/2022, Consumer ,user132@example.com,
cust-0000133,2023/02/28,consumer,user133@example.com,L156712
0000134,2021-05-08,Consumer,user134@example.com,L752686
 C0000135 ,11/11/2021,CONSUMER,user135@example.com,L469753
 C0000136 ,2022-01-30,SMB,user136@example.com,L163041
CUST-0000137,12/09/2023, Consumer ,user137@example.com,L758459
C0000138,2020/10/17, Consumer ,user138@example.com,L182193
CUST-0000139,11-Mar-2021,Consumer,user139@example.com,L654010
CUST-0000140,2020-04-11,SMB,user140@example.com,L570063
cust-0000141,20-Jan-2023,Enterprise,user141@example.com,L650958
C0000142,2022/04/21,SMB,user142@example.com,L492951
cust-0000143,05/02/2021,consumer,user143@example.com,L237892
C0000144,2024/04/16,SMB,user144@example.com,L911603
CUST-0000145,2025/08/16,SMB,user145@example.com,L638236
0000146,2025/04/12,SMB,user146@example.com,L208332
0000147,2020/02/16,SMB,user147@example.com,L847631
cust-0000148,04/04/2020,SMB,user148@example.com,L143066
0000149,24-Mar-2020,SMB,user149@example.com,L831663
C0000150,2023-02-18,consumer,user150@example.com,L796303
0000151,21-Oct-2022,Enterprise,user151@example.com,L702327
0000152,2022-05-31,CONSUMER,user152@example.com,L992889
cust-0000153,10-Feb-2022, Consumer ,user153@example.com,L398868
0000154,2025/02/06,enterprise,user154@example.com,L854584
c0000155,09/17/2023,SMB,user155@example.com,
0000156,2023/02/04,Consumer,user156@example.com,L551858
CUST-0000157,2020-03-05,Consumer,user157@example.com,L614661
0000158,2023-05-19,SMB,user158@example.com,L827114
0000159,2020-11-16,CONSUMER,user159@example.com,L452730
0000160,2023/01/02,SMB,user160@example.com,L229002
CUST-0000161,2025/08/23,Enterprise,user161@example.com,L534752
C0000162,2024/10/07,CONSUMER,user162@example.com,
CUST-0000163,2023-07-20,SMB,user163@example.com,L488556
CUST-0000164,01/05/2024,Consumer,user164@example.com,L711394
0000165,2024-09-23,Consumer,user165@example.com,
CUST-0000166,2024/05/27,Consumer,,L489866
CUST-0000167,2021-09-03,CONSUMER,user167@example.com,L145833
 0000168 ,05/30/2020,Consumer,user168@example.com,L554483
 CUST-0000169 ,2020-05-12,consumer,user169@example.com,L643959
CUST-0000170,07/14/2020,SMB,user170@example.com,
0000171,11/07/2023,SMB,user171@example.com,
c0000172,2022-07-17,CONSUMER,user172@example.com,L524419
 0000173 ,14-May-2022,SMB,,L585595
C0000174,26-Oct-2025,enterprise,user174@example.com,L923022
CUST-0000175,15-Oct-2020,Enterprise,user175@example.com,L738985
0000176,2023-04-21,SMB,user176@example.com,L955058
CUST-0000177,03/30/2025,Consumer,user177@example.com,L558397
 CUST-0000178 ,2021/03/23,Consumer,user178@example.com,L930722
C0000179,21-Sep-2024,SMB,user179@example.com,L509440
CUST-0000180,2020-07-17,Consumer,user180@example.com,L929078
CUST-0000181,07/12/2025,SMB,user181@example.com,L294761
C0000182,24-Dec-2023, SMB ,user182@example.com,
cust-0000183,2023/07/09,smb,user183@example.com,L378392
0000184,2024/12/19,Enterprise,user184@example.com,L798440
0000185,2023-12-01,Consumer,user185@example.com,L991006
0000186,02-Jun-2025,SMB,user186@example.com,L376790
 0000187 ,2021-11-27,smb,user187@example.com,L555494
 0000188 ,2022-02-25, SMB ,user188@example.com,L634880
0000189,2023/11/17, Consumer ,user189@example.com,L762251
CUST-0000190,2024-06-27,smb,user190@example.com,L346868
 CUST-0000191 ,2022-09-19,SMB,user191@example.com,L973417
CUST-0000192,04-Apr-2024,enterprise,user192@example.com,L295210
CUST-0000193,2025-01-10, SMB ,user193@example.com,
C0000194,2024-04-19, Enterprise ,user194@example.com,L233074
CUST-0000195,2022/04/10,ENTERPRISE,user195@example.com,L449964
0000196,2020/02/28, Enterprise ,user196@example.com,L404015
 CUST-0000197 ,2021-08-24,enterprise,user197@example.com,L854497
c0000198,2020-05-04,Consumer,user198@example.com,L214016
CUST-0000199,11/17/2023, Enterprise ,user199@example.com,L350826
C0000200,2020-05-15,consumer,user200@example.com,L191214
0000201,2023-07-01,CONSUMER,user201@example.com,L533923
 0000202 ,05/04/2024,smb,user202@example.com,L257067
C0000203,17-Jun-2020,Enterprise,user203@example.com,L859193
C0000204,2020/01/24,enterprise,user204@example.com,
0000205,08/24/2020,Consumer,user205@example.com,L501679
CUST-0000206,02/03/2025,CONSUMER,user206@example.com,L702249
 CUST-0000207 ,2021/12/19,smb,user207@example.com,L834908
C0000208,2023-07-24,Enterprise,user208@example.com,L213532
 C0000209 ,04/09/2020,Enterprise,user209@example.com,L653984
CUST-0000210,2025-10-26, Consumer ,,L172167
CUST-0000211,2020/07/20,Consumer,user211@example.com,L736267
0000212,04/30/2023,Consumer,user212@example.com,
0000213,02/18/2023,Enterprise,user213@example.com,L705698
0000214,2021/01/06,consumer,user214@example.com,L770865
 C0000215 ,2023/12/07, Enterprise ,user215@example.com,L457573
CUST-0000216,06/10/2021,Consumer,user216@example.com,L692862
C0000217,2023/10/27,enterprise,user217@example.com,L734524
C0000218,06-Jan-2023,Consumer,user218@example.com,
CUST-0000219,2020/08/02,SMB,user219@example.com,L912071
CUST-0000220,2021-08-10,Enterprise,user220@example.com,L494047
0000221,2020/03/27, SMB ,user221@example.com,L852222
0000222,2023/01/07,Consumer,user222@example.com,L122496
 0000223 ,2023/02/19, Enterprise ,,L664117
 0000224 ,08/14/2023, Enterprise ,user224@example.com,L267892
C0000225,2025-05-16,Consumer,user225@example.com,L120937
C0000226,02/26/2025,Enterprise,user226@example.com,L171306
CUST-0000227,2020-01-11, Enterprise ,user227@example.com,L242537
 0000228 ,2025-09-02,SMB,user228@example.com,L799377
0000229,15-Dec-2023, Consumer ,user229@example.com,L586692
 0000230 ,2024-04-22,Consumer,user230@example.com,L787905
CUST-0000231,2023-05-31,enterprise,user231@example.com,L723510
CUST-0000232,10/14/2024, Consumer ,user232@example.com,L985313
c0000233,18-Feb-2023,SMB,user233@example.com,L739433
c0000234,2020-05-31,enterprise,user234@example.com,L949843
0000235,2025/06/08,Consumer,user235@example.com,L613869
0000236,2024/05/02,enterprise,user236@example.com,L744055
CUST-0000237,2025/10/07,consumer,user237@example.com,L733770
 0000238 ,01/20/2021,Consumer,user238@example.com,L164573
0000239,2023-08-15,CONSUMER,user239@example.com,
0000240,12/23/2024,SMB,,
CUST-0000241,2024-01-26,SMB,user241@example.com,L640645
CUST-0000242,01/23/2024,SMB,user242@example.com,L823041
C0000243,01-Feb-2025,smb,user243@example.com,L295346
0000244,01/09/2025,SMB,user244@example.com,L341967
 C0000245 ,01/31/2021,consumer,user245@example.com,L552462
C0000246,2022/01/28,ENTERPRISE,user246@example.com,
0000247,07-Feb-2024,Enterprise,user247@example.com,L580960
C0000248,01/25/2021,SMB,user248@example.com,L359664
 CUST-0000249 ,2020/08/25,ENTERPRISE,user249@example.com,L247558
 0000250 ,2021/05/05,Consumer,user250@example.com,L720258
0000251,01-Nov-2023,Consumer,user251@example.com,L309156
0000252,22-Jul-2024,Consumer,user252@example.com,
CUST-0000253,2022/04/25,SMB,user253@example.com,
0000254,29-Mar-2021,SMB,user254@example.com,L982369
 C0000255 ,2020-01-05,Enterprise,user255@example.com,
C0000256,2025/05/04,Enterprise,user256@example.com,L654350
 CUST-0000257 ,2025-05-24,SMB,,L297816
 0000258 ,2023-05-14,ENTERPRISE,user258@example.com,L820493
C0000259,2022/07/26,SMB,user259@example.com,L103404
C0000260,2021/12/17,Enterprise,user260@example.com,L251085
 CUST-0000261 ,2022-06-02,ENTERPRISE,user261@example.com,L389611
C0000262,2025/04/23,Enterprise,user262@example.com,L153096
c0000263,2024-11-08,consumer,user263@example.com,
 C0000264 ,2022/11/13,Consumer,,L278737
cust-0000265,27-Nov-2020,CONSUMER,user265@example.com,L736876
0000266,2025/08/26, SMB ,user266@example.com,L306631
 0000267 ,2020/02/08,CONSUMER,user267@example.com,L895887
cust-0000268,2020-12-28,SMB,user268@example.com,
0000269,2021/07/06, Consumer ,user269@example.com,L221784
C0000270,2025/07/13,CONSUMER,user270@example.com,
CUST-0000271,29-Jan-2023,Consumer,user271@example.com,L276589
C0000272,01/18/2020, Consumer ,user272@example.com,L145045
CUST-0000273,2024/04/21,Enterprise,user273@example.com,L645859
0000274,2025-04-23,consumer,user274@example.com,L728996
cust-0000275,2023/04/12,Consumer,user275@example.com,L386377
CUST-0000276,2021/01/19,Consumer,user276@example.com,L686936
 C0000277 ,2020/11/01,CONSUMER,user277@example.com,L969082
C0000278,2022/01/02,Consumer,user278@example.com,L861819
 0000279 ,10-May-2023,Enterprise,user279@example.com,L918265
C0000280,2022/08/30,CONSUMER,user280@example.com,
0000281,2024/01/12,Consumer,user281@example.com,L783475
CUST-0000282,14-Aug-2025,Enterprise,user282@example.com,
CUST-0000283,17-Dec-2025,Enterprise,user283@example.com,L570623
C0000284,2022-06-26,CONSUMER,user284@example.com,L137534
 0000285 ,14-Aug-2020,CONSUMER,user285@example.com,L244251
C0000286,2023-09-04,Enterprise,user286@example.com,L657684
 C0000287 ,18-Jan-2025,Consumer,user287@example.com,L294280
CUST-0000288,11/17/2020,Consumer,user288@example.com,L803193
0000289,2024-09-02,Enterprise,user289@example.com,L141661
CUST-0000290,22-Dec-2021, Consumer ,user290@example.com,L485053
C0000291,09/07/2020,Consumer,user291@example.com,L427639
CUST-0000292,26-Jun-2020,consumer,user292@example.com,L858345
0000293,25-Oct-2024,Consumer,user293@example.com,L629078
0000294,01/24/2021,Consumer,user294@example.com,
0000295,2024/09/12,SMB,user295@example.com,L488798
 0000296 ,11/09/2020,Consumer,user296@example.com,L468069
CUST-0000297,2023/07/08,Consumer,user297@example.com,
0000298,2024-03-26,Consumer,user298@example.com,L549721
 0000299 ,2025/02/23,CONSUMER,user299@example.com,L620751
C0000300,03/13/2021,Enterprise,user300@example.com,L626729
0000301,05/02/2020,CONSUMER,user301@example.com,L217479
 C0000302 ,10/03/2023,SMB,user302@example.com,L564645
CUST-0000303,2022-09-21,Consumer,user303@example.com,L432580
0000304,28-Jan-2022, Consumer ,user304@example.com,L982127
C0000305,22-Nov-2020,Consumer,user305@example.com,L552968
0000306,2024-12-11,CONSUMER,user306@example.com,L200164
C0000307,2022/01/26,SMB,user307@example.com,L146695
CUST-0000308,2021/04/20,consumer,user308@example.com,L241259
0000309,13-Jul-2020,Enterprise,user309@example.com,L292640
0000310,30-Oct-2024,CONSUMER,user310@example.com,L121600
CUST-0000311,2022/08/25,Consumer,user311@example.com,
 0000312 ,2023-01-27,CONSUMER,user312@example.com,
 0000313 ,12/09/2020,SMB,user313@example.com,L577327
C0000314,05/27/2020,Consumer,user314@example.com,L474698
 CUST-0000315 ,2023-12-13,ENTERPRISE,user315@example.com,L845299
CUST-0000316,03-Oct-2024,enterprise,user316@example.com,L559228
c0000317,07-Nov-2021, Consumer ,user317@example.com,
CUST-0000318,11/24/2021,CONSUMER,user318@example.com,L140721
C0000319,2024/12/28,Enterprise,user319@example.com,L188598
0000320,2021-11-24,Enterprise,user320@example.com,L522303
 CUST-0000321 ,2025-10-05,SMB,user321@example.com,L634772
 C0000322 ,2024/11/01,Consumer,user322@example.com,L134569
0000323,08/07/2022,consumer,user323@example.com,L431559
0000324,09-Dec-2021, Enterprise ,user324@example.com,L874773
CUST-0000325,08/20/2020,Enterprise,user325@example.com,L157849
0000326,2023/01/20,SMB,user326@example.com,L379948
C0000327,30-Oct-2023,enterprise,user327@example.com,L651166
CUST-0000328,05/26/2021,Consumer,,L140579
C0000329,2025/10/11,Consumer,user329@example.com,L618510
C0000330,2021/01/22, Enterprise ,user330@example.com,L801147
CUST-0000331,2020/02/18,Consumer,,L827770
cust-0000332,2023-08-21,ENTERPRISE,user332@example.com,L554456
0000333,22-Jul-2022,Consumer,user333@example.com,L534559
C0000334,18-Feb-2020,Enterprise,user334@example.com,L264658
C0000335,2025/11/22,Consumer,,L356139
0000336,10-Aug-2025,SMB,user336@example.com,L162748
CUST-0000337,06/26/2020,Consumer,user337@example.com,L723694
CUST-0000338,2025/01/06,Enterprise,user338@example.com,
 CUST-0000339 ,01/11/2021, Consumer ,user339@example.com,L402422
C0000340,2020/09/17,Enterprise,user340@example.com,L925377
0000341,14-Feb-2023, Consumer ,user341@example.com,L895794
C0000342,25-Apr-2021,ENTERPRISE,user342@example.com,L932514
CUST-0000343,10/24/2022, SMB ,user343@example.com,L262357
C0000344,2022-11-11,Consumer,user344@example.com,L128331
 C0000345 ,2023-03-24,Consumer,user345@example.com,
C0000346,01/24/2023,Consumer,user346@example.com,L271914
0000347,09/22/2023,SMB,user347@example.com,L802309
 0000348 ,07-Jan-2021,Consumer,user348@example.com,L901581
CUST-0000349,03/13/2025,Enterprise,user349@example.com,L388580
0000350,2022/09/04,consumer,user350@example.com,L772300
 C0000351 ,2024/07/16, Consumer ,user351@example.com,L304318
0000352,2025/01/16,Consumer,user352@example.com,L872600
 0000353 ,2025-06-26, SMB ,user353@example.com,
0000354,30-Aug-2025,CONSUMER,user354@example.com,L962395
 C0000355 ,17-Jan-2023,enterprise,user355@example.com,L916426
CUST-0000356,04/28/2023,CONSUMER,user356@example.com,
C0000357,04/15/2023,ENTERPRISE,user357@example.com,L877745
0000358,08-Feb-2023,Enterprise,user358@example.com,L955192
0000359,17-Jul-2025,Consumer,user359@example.com,L123214
0000360,2020/03/16,SMB,user360@example.com,L307739
C0000361,2020-10-14, Consumer ,user361@example.com,L365155
 0000362 ,10/17/2024,SMB,user362@example.com,L209212
 0000363 ,17-Sep-2021,CONSUMER,user363@example.com,L780614
CUST-0000364,2025/10/14,Consumer,user364@example.com,L656965
0000365,2021/04/25,Consumer,user365@example.com,L195216
0000366,11-Jan-2025,SMB,user366@example.com,L733860
0000367,20-Apr-2025, Consumer ,user367@example.com,
CUST-0000368,06/13/2022,Enterprise,user368@example.com,L239169
CUST-0000369,05/19/2022,Consumer,user369@example.com,L797995
 0000370 ,18-Apr-2023,SMB,user370@example.com,L390217
0000371,2023/04/24, Consumer ,user371@example.com,L342647
C0000372,02/19/2020,consumer,user372@example.com,L139700
CUST-0000373,2022/06/26, SMB ,user373@example.com,L651434
C0000374,06-Oct-2023,enterprise,user374@example.com,L316298
0000375,12/12/2025, Enterprise ,user375@example.com,L850205
c0000376,03/03/2025,Consumer,user376@example.com,
0000377,01/05/2020,CONSUMER,user377@example.com,L757080
CUST-0000378,09-Jun-2024,SMB,user378@example.com,L478737
 0000379 ,2022-02-11, SMB ,user379@example.com,L686607
CUST-0000380,2023/11/08,consumer,user380@example.com,L344254
C0000381,23-Nov-2020,Consumer,user381@example.com,L189794
 CUST-0000382 ,11/21/2022,Enterprise,user382@example.com,L736000
cust-0000383,24-Mar-2020, Consumer ,user383@example.com,L258065
CUST-0000384,2025-07-28,Consumer,user384@example.com,L712728
 0000385 ,2022/12/14,Enterprise,user385@example.com,
0000386,12-Apr-2025, SMB ,user386@example.com,L927913
 C0000387 ,2021-06-03,Enterprise,user387@example.com,L396756
 0000388 ,2022/11/10,Consumer,user388@example.com,L149366
cust-0000389,2024/08/24,ENTERPRISE,user389@example.com,L454507
C0000390,2024-12-30,SMB,user390@example.com,L969107
C0000391,2022/02/09, Enterprise ,user391@example.com,L550099
C0000392,2024/08/05, Consumer ,user392@example.com,L336941
0000393,2025-08-19,SMB,user393@example.com,L610650
 0000394 ,2025/08/20,Consumer,user394@example.com,L211798
cust-0000395,2023-03-19,Enterprise,user395@example.com,L804659
0000396,2024/10/17,smb,user396@example.com,
0000397,28-Jun-2025,Enterprise,user397@example.com,L403769
CUST-0000398,22-Oct-2023,SMB,user398@example.com,L176000
0000399,2024-11-21,Enterprise,user399@example.com,L802540
C0000400,14-Mar-2022,CONSUMER,,L141185
CUST-0000401,2021-09-16,ENTERPRISE,user401@example.com,L287101
 CUST-0000402 ,2025-01-05,Consumer,user402@example.com,L266760
C0000403,2022-11-29,CONSUMER,user403@example.com,L293557
 C0000404 ,2022/02/13,Enterprise,user404@example.com,L465875
C0000405,2023/02/15,CONSUMER,user405@example.com,
CUST-0000406,2020/01/03,Enterprise,user406@example.com,L785101
 CUST-0000407 ,2021/09/30,Consumer,user407@example.com,L961734
 0000408 ,2025/07/25,Enterprise,user408@example.com,L746481
CUST-0000409,10-Oct-2023,Consumer,user409@example.com,
0000410,2022-04-26,SMB,user410@example.com,
C0000411,2022-05-13,Enterprise,user411@example.com,L397493
 CUST-0000412 ,21-Sep-2023,consumer,user412@example.com,L557874
C0000413,16-Jan-2023,SMB,user413@example.com,L367351
cust-0000414,09/20/2023,SMB,user414@example.com,
c0000415,02/28/2024,CONSUMER,user415@example.com,L733719
0000416,2021/06/21, Consumer ,user416@example.com,L314910
CUST-0000417,12/23/2024,CONSUMER,user417@example.com,L114993
C0000418,10/19/2021,CONSUMER,user418@example.com,L636300
0000419,28-Jul-2023,CONSUMER,user419@example.com,
0000420,12-Jul-2025,CONSUMER,user420@example.com,L717712
CUST-0000421,19-Sep-2020,SMB,user421@example.com,L615427
CUST-0000422,30-Oct-2023,SMB,user422@example.com,L503562
0000423,2024-02-02, SMB ,user423@example.com,L873211
CUST-0000424,2021/03/09,SMB,user424@example.com,L174039
C0000425,12-Jun-2022,Consumer,user425@example.com,L250566
 0000426 ,2022-05-07, Enterprise ,user426@example.com,L479390
 0000427 ,01-Mar-2025,Consumer,user427@example.com,L818873
C0000428,03/26/2023,smb,user428@example.com,L311989
C0000429,2021-05-19,SMB,user429@example.com,L670410
CUST-0000430,2022-01-12, Consumer ,user430@example.com,L633001
C0000431,2023/05/29,smb,user431@example.com,L239911
0000432,2021-04-21, SMB ,user432@example.com,L738176
0000433,12/12/2022, SMB ,user433@example.com,L699649
c0000434,2025-07-12,CONSUMER,user434@example.com,L544820
0000435,02/07/2022,SMB,user435@example.com,L558608
C0000436,12/12/2023,SMB,user436@example.com,L148140
CUST-0000437,2025-03-24, Enterprise ,user437@example.com,L732036
0000438,07/31/2023,CONSUMER,user438@example.com,L662750
0000439,2024-06-19,Enterprise,user439@example.com,L555194
CUST-0000440,2025-02-26,Consumer,,L786795
0000441,2020-08-27,SMB,user441@example.com,L233386
C0000442,04-Aug-2024, Consumer ,user442@example.com,L913533
 0000443 ,2025-06-01,SMB,user443@example.com,L501280
0000444,04/20/2022, Consumer ,user444@example.com,L545668
CUST-0000445,2022/01/02,consumer,user445@example.com,L867340
C0000446,2022-09-30, SMB ,user446@example.com,L618537
CUST-0000447,2024-06-25,SMB,user447@example.com,L396833
 C0000448 ,2022/12/12, SMB ,user448@example.com,L729406
c0000449,25-Jul-2021, Consumer ,user449@example.com,L416963
 C0000450 ,2020-09-24,enterprise,user450@example.com,L282337
0000451,12/22/2025,enterprise,user451@example.com,L613297
0000452,2022-03-10, Enterprise ,user452@example.com,L336183
0000453,2024/09/27,Enterprise,user453@example.com,L508560
C0000454,11/21/2022,Consumer,user454@example.com,L233732
C0000455,12/08/2023,CONSUMER,user455@example.com,L202993
0000456,2021-11-22, Enterprise ,user456@example.com,L876842
CUST-0000457,06/23/2025,SMB,user457@example.com,L325672
CUST-0000458,2020-08-05,consumer,user458@example.com,
0000459,2022/12/12,smb,user459@example.com,L401804
c0000460,10/05/2020, Consumer ,user460@example.com,L510618
CUST-0000461,2025-09-21, Consumer ,user461@example.com,L363642
0000462,2021/10/31,SMB,user462@example.com,L915936
 0000463 ,01/01/2025,Consumer,user463@example.com,
C0000464,12/10/2023,ENTERPRISE,user464@example.com,L434642
CUST-0000465,25-May-2020,SMB,user465@example.com,L730807
C0000466,08/05/2024, Consumer ,user466@example.com,L162911
C0000467,2025/05/24,Enterprise,user467@example.com,L567606
0000468,04-Jun-2023,consumer,user468@example.com,L424079
CUST-0000469,2020/03/27,Enterprise,user469@example.com,L846311
0000470,03-Jan-2023,SMB,user470@example.com,L450418
0000471,15-Sep-2021,smb,user471@example.com,
 CUST-0000472 ,12-Feb-2023,Enterprise,user472@example.com,L837815
0000473,06-Dec-2024, Consumer ,user473@example.com,L906491
c0000474,2021/11/11, Consumer ,user474@example.com,L872552
